Time_min,D50_micron
1,16.5657
2,17.8369
3,16.0556
4,18.8637
5,19.7699
6,17.7793
7,20.9354
8,21.495
9,22.1775
10,23.8923
11,20.7005
12,24.8284
13,32.95
14,33.2901
15,33.9211
16,36.433
17,37.5855
18,38.8259
19,40.434
20,42.8997
21,41.1451
22,42.0614
23,44.8862
24,45.7426
25,45.9148
26,47.964
27,55.3286
28,56.8213
29,57.2642
30,62.839
31,60.4526
32,63.9651
33,59.0501
34,68.577
35,72.9166
36,70.577
37,70.2806
38,74.4122
39,76.5948
40,75.6279
41,84.0533
42,76.7938
43,85.1636
44,77.9659
45,80.8478
46,88.0681
47,84.6569
48,85.6278
49,100.212
50,88.8922
51,88.7486
52,92.0149
53,85.4507
54,89.8162
55,94.8719
56,97.2386
57,90.7493
58,98.5405
59,102.501
60,95.6554
61,99.1928
62,105.77
63,98.0182
64,96.2569
65,95.8933
66,100.909
67,94.6741
68,105.931
69,96.3278
70,101.809
71,95.0099
72,105.182
73,95.5125
74,103.676
75,103.58
76,104.498
77,97.732
78,93.3125
79,112.816
80,107.751
81,107.846
82,94.8212
83,100.778
84,104.322
85,102.025
86,100.236
87,102.875
88,104.511
89,106.808
90,100.72
91,106.696
92,107.509
93,107.637
94,98.3838
95,105.834
96,101.97
97,113.682
98,104.689
99,102.654
100,95.1934
101,102.116
102,106.189
103,106.094
104,100.711
105,101.534
106,102.689
107,102.061
108,108.161
109,105.424
110,101.725
111,101.827
112,111.211
113,107.777
114,97.7977
115,105.311
116,102.041
117,100.412
118,101.752
119,99.8275
120,106.148
121,102.773
122,105.328
123,107.173
124,102.682
125,106.237
126,103.366
127,102.979
128,108.338
129,103.768
130,101.802
131,106.384
132,108.156
133,101.251
134,99.5263
135,97.9338
136,105.556
137,100.6
138,103.455
139,110.433
140,103.926
141,98.8645
142,106.892
143,109.757
144,101.109
145,108.303
146,108.262
147,102.669
148,105.052
149,104.711
150,107.199
151,110.465
152,110.183
153,102.795
154,103.753
155,103.788
156,108.874
157,105.213
158,103.911
159,105.366
160,108.503
161,107.34
162,105.266
163,111.484
164,105.289
165,102.599
166,105.228
167,107.146
168,106.602
169,102.233
170,109.357
171,107.552
172,105.511
173,103.937
174,102.631
175,105.956
176,106.587
177,106.947
178,110.145
179,109.05
180,104.623
181,108.22
182,103.414
183,110.956
184,109.694
185,102.737
186,104.515
187,105.209
188,107.974
189,107.812
190,109.717
191,104.955
192,106.35
193,107.083
194,111.646
195,108.138
196,112.094
197,110.408
198,101.738
199,102.195
200,110.634
201,107.109
202,109.006
203,104.43
204,104.834
205,108.87
206,106.52
207,103.674
208,103.436
209,105.239
210,106.154
211,105.38
212,108.439
213,106.527
214,106.063
215,109.466
216,112.558
217,105.705
218,113.531
219,111.227
220,110.555
221,106.903
222,106.886
223,109.224
224,108.112
225,106.283
226,107.338
227,106.051
228,111.967
229,108.2
230,115.793
231,114.96
232,103.624
233,110.507
234,106.443
235,111.737
236,105.133
237,111.859
238,109.798
239,108.55
240,108.018
241,109.539
242,106.602
243,110.698
244,100.31
245,108.273
246,109.797
247,109.875
248,107.327
249,111.174
250,106.635
251,106.072
252,111.631
253,108.845
254,106.353
255,108.891
256,109.358
257,109.333
258,105.674
259,111.246
260,108.502
261,109.977
262,112.677
263,112.773
264,109.923
265,103.36
266,107.594
267,109.151
268,113.666
269,103.613
270,106.099
272.5,110.027
277.5,108.126
282.5,105.825
287.5,110.072
292.5,106.343
297.5,104.398
302.5,111.69
307.5,108.72
312.5,110.335
317.5,111.111
322.5,107.441
327.5,108.453
332.5,110.982
337.5,104.797
342.5,113.8
347.5,109.963
352.5,111.272
357.5,105.422
362.5,106.354
367.5,110.108
372.5,107.583
377.5,109.005
382.5,111.511
387.5,110.363
392.5,101.268
397.5,109.797
402.5,104.73
407.5,108.127
412.5,107.671
417.5,110.895
422.5,112.252
427.5,110.358
432.5,113.331
437.5,103.939
442.5,102.886
447.5,107.364
482.5,111.216
487.5,105.519
492.5,107.451
497.5,105.819
502.5,107.938
507.5,111.026
512.5,106.049
517.5,108.689
522.5,109.055
527.5,106.741
532.5,103.987
537.5,110.241
542.5,106.364
547.5,102.099
552.5,108.139
557.5,103.847
562.5,109.493
567.5,102.184
572.5,103.366
577.5,103.778
582.5,105.354
587.5,104.805
592.5,107.354
597.5,107.663
602.5,101.561
607.5,105.165
612.5,105.355
617.5,108.207
622.5,109.227
627.5,110.062
632.5,106.88
637.5,106.368
642.5,109.538
647.5,107.456
652.5,102.971
657.5,109.875
662.5,112.263
667.5,107.602
672.5,106.551
677.5,105.58
682.5,101.076
687.5,109.401
692.5,108.011
697.5,106.138
702.5,111.194
707.5,107.79
712.5,107.251
717.5,107.157
722.5,103.223
727.5,104.146
732.5,105.103
737.5,103.951
742.5,106.331
747.5,103.923
752.5,106.333
757.5,102.522
762.5,101.748
767.5,104.899
772.5,109.266
777.5,103.181
782.5,106.523
787.5,102.462
792.5,105.438
797.5,106.586
802.5,107.388
807.5,105.5
812.5,105.255
817.5,103.889
822.5,106.393
827.5,107.066
832.5,110.114
837.5,102.667
842.5,107.561
847.5,104.052
852.5,103.391
857.5,99.9125
862.5,105.27
867.5,103.972
872.5,105.938
877.5,105.552
882.5,101.408
887.5,98.2919
892.5,105.429
897.5,104.844
902.5,106.688
907.5,107.185
912.5,104.05
917.5,105.049
922.5,104.581
927.5,105.174
932.5,108.657
937.5,102.166
942.5,104.259
947.5,101.816
952.5,107.888
957.5,102.42
962.5,106.675
967.5,104.907
972.5,104.695
977.5,99.4302
982.5,105.677
987.5,108.128
992.5,101.285
997.5,106.606
1002.5,107.122
1007.5,106.408
1012.5,104.593
1017.5,111.022
1022.5,104.895
1027.5,108.724
1032.5,109.34
1037.5,102.928
1042.5,103.865
1047.5,104.39
1052.5,107.781
1057.5,104.597
1062.5,101.516
1067.5,107.039
1072.5,104.064
1077.5,104.641
1082.5,105.283
1087.5,104.892
1092.5,102.555
1097.5,105.599
1102.5,107.478
1107.5,102.972
1112.5,104.014
1117.5,103.821
1122.5,106.272
1127.5,108.565
1132.5,105.443
1137.5,101.388
1142.5,104.731
1147.5,100.074
1152.5,100.029
1157.5,104.35
1162.5,101.746
1167.5,103.64
1172.5,103.053
1177.5,105.762
1182.5,104.586
1187.5,104.718
1192.5,104.175
1197.5,105.152
1322.5,104.408
1327.5,103.396
1332.5,106.875
1337.5,102.637
1342.5,105.177
1347.5,102.744
1352.5,103.602
1357.5,104.598
1362.5,104.424
1367.5,104.468
1372.5,108.534
1377.5,104.675
1382.5,106.06
1387.5,104.995
1392.5,106.175
1397.5,106.987
1402.5,101.587
1407.5,107.88
1412.5,105.713
1417.5,105.023
1422.5,105.782
1427.5,105.865
1432.5,106.937
1437.5,104.729
1442.5,109.187
1447.5,108.153
1452.5,111.294
1457.5,103.556
1462.5,102.782
1467.5,105.128
1472.5,104.218
1477.5,110.556
1482.5,103.38
1487.5,111.182
1492.5,102.791
1497.5,106.69
1622.5,111.045
1627.5,111.575
1632.5,107.99
1637.5,105.548
1642.5,105.904
1647.5,110.801
1652.5,108.498
1657.5,104.836
1662.5,108.85
1667.5,109.258
1672.5,106.883
1677.5,107.363
1682.5,105.14
1687.5,104.075
1692.5,104.287
1697.5,105.069
1702.5,107.121
1707.5,107.279
1712.5,105.823
1717.5,109.114
1722.5,100.249
1727.5,101.964
1732.5,107.666
1737.5,107.235
1742.5,112.323
1747.5,112.431
1752.5,110.587
1757.5,108.964
1762.5,104.743
1767.5,108.25
1772.5,106.555
1777.5,108.904
1782.5,105.221
1787.5,106.979
1792.5,108.352
1797.5,108.218
1862.5,107.403
1867.5,106.601
1872.5,105.453
1877.5,110.606
1882.5,108.217
1887.5,107.502
1892.5,105.727
1897.5,106.074
1902.5,108.036
1907.5,105.92
1912.5,105.004
1917.5,107.075
1922.5,106.842
1927.5,108.248
1932.5,107.06
1937.5,105.065
1942.5,110.308
1947.5,104.357
1952.5,108.472
1957.5,107.75
1962.5,107.008
1967.5,109.75
1972.5,109.166
1977.5,105.783
1982.5,108.118
1987.5,108.088
1992.5,106.109
1997.5,106.549
2002.5,107.741
2007.5,105.751
2012.5,109.761
2017.5,104.503
2022.5,107.589
2027.5,105.448
2032.5,108.318
2037.5,108.515
2042.5,110.633
2047.5,112.653
2052.5,107.758
2057.5,110.544
2062.5,112.08
2067.5,110.857
2072.5,107.541
2077.5,109.177
2082.5,106.531
2087.5,110.797
2092.5,109.967
2097.5,110.31
2102.5,109.968
2107.5,106.612
2112.5,109.885
2117.5,107.047
2122.5,108.526
2127.5,106.84
2132.5,106.482
2137.5,110.886
2142.5,104.952
2147.5,106.685
2152.5,106.327
2157.5,107.441
2162.5,106.014
2167.5,105.763
2172.5,108.823
2177.5,104.85
2182.5,106.342
2187.5,107.348
2192.5,110.345
2197.5,108.759
2202.5,109.214
2207.5,107.298
2212.5,108.91
2217.5,106.799
2222.5,109.172
2227.5,108.268
2232.5,99.6945
2237.5,111.076
2242.5,109.061
2247.5,107.863
2252.5,107.89
2257.5,108.286
2262.5,105.056
2267.5,105.978
2272.5,104.557
2277.5,109.638
2282.5,106.644
2287.5,107.444
2292.5,108.249
2297.5,104.285
2302.5,110.806
2307.5,107.002
2312.5,105.465
2317.5,108.951
2322.5,110.847
2327.5,105.249
2332.5,106.575
2337.5,109.424
2342.5,107.14
2347.5,111.276
2352.5,107.145
2357.5,105.909
2362.5,109.108
2367.5,105.978
2372.5,111.221
2377.5,107.653
2382.5,107.776
2387.5,111.232
2392.5,110.156
2397.5,110.697
2402.5,110.107
2407.5,111.108
2412.5,111.029
2417.5,106.744
2422.5,104.306
2427.5,108.058
2432.5,113.669
2437.5,114.641
2442.5,107.595
2447.5,109.654
2452.5,104.375
2457.5,102.042
2462.5,110.163
2467.5,107.676
2472.5,104.297
2477.5,107.916
2482.5,112.232
2487.5,109.983
2492.5,110.235
2497.5,104.353
2502.5,105.543
2507.5,108.04
2512.5,108.096
2517.5,108.157
2522.5,106.293
2527.5,109.841
2532.5,108.275
2537.5,103.11
2542.5,112.194
2547.5,107.986
2552.5,110.77
2557.5,113.099
2562.5,109.443
2567.5,104.805
2572.5,110.613
2577.5,108.213
2762.5,109.844
2767.5,111.579
2772.5,110.997
2777.5,110.094
2782.5,108.68
2787.5,111.918
2792.5,110.793
2797.5,109.91
2802.5,107.747
2807.5,104.558
2812.5,109.428
2817.5,109.447
