Time_min,G,D50_micron
410,90,39.0785
411,90,36.712
412,90,35.6918
413,90,35.382
414,90,36.9413
415,90,36.2995
416,90,32.5515
417,90,34.254
418,90,35.0543
419,90,35.5417
420,90,33.2478
